#SENTENCE_FROM_TWEET	LABEL	VERB	TARGET	ASPECT	AGENT_PERPETRATOR	PATIENT	SENTIMENT_OF_PATIENT	SENTIMENT_OF_AGENT_TOWARDS_PATIENT	AGENT_IS_NON-CONFORMISTIC
#Frauen mahnen heute am #EqualCareDay Gleichberechtigung an.	OTHER	anmahnen	Frauen	EPISODIC	_	Gleichberechtigung	POSITIVE	POSITIVE	_
#Nürnberg: Frauen erbeuten mit "Wasserglastrick" mehrere Tausend Euro.	OTHER	erbeuten	Frauen	EPISODIC	PERPETRATOR	mehrere Tausend Euro	POSITIVE	POSITIVE	_
Die Juden morden wieder.	ABUSE	morden	Juden	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Moslems missverstehen Christen.	OTHER	missverstehen	Juden	NON_EPISODIC	_	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime monieren Mangel an Möglichkeiten.	OTHER	monieren	Muslime	NON_EPISODIC	_	Mangel an Möglichkeiten	NEGATIVE	NEGATIVE	_
Muslime nerven doch nur.	ABUSE	nerven	Muslime	NON_EPISODIC	_	N/A	N/A	N/A	_
Ja Schwule nerven mich auch.	ABUSE	nerven	Homosexuelle	NON_EPISODIC	_	mich	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden nerven richtig!	ABUSE	nerven	Juden	NON_EPISODIC	_	N/A	N/A	N/A	_
Juden protestieren gegen Israels Siedlungspolitik.	OTHER	protestieren	Juden	EPISODIC	_	Israels Siedlungspolitik	NEGATIVE	NEGATIVE	_
Muslime protestieren gegen einen demokratisch gewählten christlichen Gouverneur in Indonesien.	OTHER	protestieren	Muslime	EPISODIC	_	einen demokratisch gewählten christlichen Gouverneur	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden quälen unschuldige Babys.	ABUSE	quälen	Juden	NON_EPISODIC	PERPETRATOR	unschuldige Babys	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden protestieren für Menschenrechte.	OTHER	protestieren	Juden	EPISODIC	_	Menschenrechte	POSITIVE	POSITIVE	_
Spanien-Besuch: Schwule provozieren Papst mit Kuss-Protestaktion.	OTHER	provozieren	Homosexuelle	EPISODIC	_	Papst	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule protestieren morgen in #Magdeburg gegen die Diskriminierung von Homosexuellen in Russland.	OTHER	protestieren	Homosexuelle	EPISODIC	_	die Diskriminierung von Homosexuellen in Russland	NEGATIVE	NEGATIVE	_
Juden provozieren durch ihre bloße Existenz.	ABUSE	provozieren	Juden	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Juden quälen Tiere.	ABUSE	quälen	Juden	NON_EPISODIC	PERPETRATOR	Tiere	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime provozieren erneut mit Demo in Wien.	ABUSE	provozieren	Muslime	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslime protestieren gegen Christen-Verfolgung im Irak.	OTHER	protestieren	Muslime	EPISODIC	_	Christen-Verfolgung im Irak	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Pakistan: Muslime quälen einen christlichen Mann mit heißen Eisenstangen.	OTHER	quälen	Muslime	EPISODIC	PERPETRATOR	einen christlichen Mann	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime provozieren Christen mit Moscheen!	ABUSE	provozieren	Muslime	NON_EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime protestieren gegen schwulen Kita-Erzieher.	OTHER	protestieren	Homosexuelle	EPISODIC	_	schwulen Kita-Erzieher	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime plündern Häuser von Christen.	ABUSE	plündern	Muslime	NON_EPISODIC	PERPETRATOR	Häuser von Christen	POSITIVE	POSITIVE	_
News: Schwule protestieren gegen Papst.	OTHER	protestieren	Homosexuelle	EPISODIC	_	Papst	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden plündern Deutschland !	ABUSE	plündern	Juden	NON_EPISODIC	PERPETRATOR	Deutschland	POSITIVE	POSITIVE	_
Muslime prügeln Osterprozessionteilnehmer in Sevilla.	OTHER	prügeln	Muslime	EPISODIC	PERPETRATOR	Osterprozessionteilnehmer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Einheitliche Freitagspredigt in 350 Moscheen: Muslime predigen gegen den #Terror.	OTHER	predigen	Muslime	EPISODIC	_	den #Terror	NEGATIVE	NEGATIVE	_
Muslime QUÄLEN Tiere!	ABUSE	quälen	Muslime	NON_EPISODIC	PERPETRATOR	Tiere	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule schaden dem Fußball.	ABUSE	schaden	Homosexuelle	NON_EPISODIC	PERPETRATOR	dem Fußball	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Koran-Streit - Muslime randalieren in Athen.	OTHER	randalieren	Muslime	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslime sabotieren unsere freiheitliche Gesellschaft.	ABUSE	sabotieren	Muslime	NON_EPISODIC	PERPETRATOR	unsere freiheitliche Gesellschaft	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime riskieren ihr Leben für Ihre Sicherheit!	OTHER	riskieren	Muslime	NON_EPISODIC	_	ihr Leben	POSITIVE	POSITIVE	_
Muslime rügen Eingriff in ihre Religion.	OTHER	rügen	Muslime	EPISODIC	_	Eingriff in ihre Religion	NEGATIVE	NEGATIVE	_
Muslime schaden uns auch.	ABUSE	schaden	Muslime	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule ruinieren mit Kreuzfahrten den Staat.	ABUSE	ruinieren	Homosexuelle	NON_EPISODIC	PERPETRATOR	den Staat	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime rügen strukturellen Rassismus.	OTHER	rügen	Muslime	EPISODIC	_	strukturellen Rassismus	NEGATIVE	NEGATIVE	_
Philippinen: Muslime riskieren ihr Leben, um Christen zu retten.	OTHER	riskieren	Muslime	EPISODIC	_	ihr Leben	POSITIVE	POSITIVE	_
Muslime relativieren die Kinderehe.	ABUSE	relativieren	Muslime	NON_EPISODIC	PERPETRATOR	die Kinderehe	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Unser Video des Tages: Muslime randalieren in Paris.	OTHER	randalieren	Muslime	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslime ruinieren unser Land, unsere Kultur.	ABUSE	ruinieren	Muslime	NON_EPISODIC	PERPETRATOR	unser Land	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden rauben unsere Frauen.	ABUSE	rauben	Juden	NON_EPISODIC	PERPETRATOR	unsere Frauen	POSITIVE	POSITIVE	_
die Juden raffen das Kapital.	ABUSE	raffen	Juden	NON_EPISODIC	PERPETRATOR	das Kapital	POSITIVE	POSITIVE	_
Die Muslime rechtfertigen Ihre Verbrechen.	ABUSE	rechtfertigen	Muslime	NON_EPISODIC	_	Ihre Verbrechen	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Alle Muslime schaden Deutschland.	ABUSE	schaden	Muslime	NON_EPISODIC	PERPETRATOR	Deutschland	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden rügen Beschneidungs-Urteil.	OTHER	rügen	Juden	EPISODIC	_	Beschneidungs-Urteil	NEGATIVE	NEGATIVE	_
SCHWULE SCHADEN DER GESELLSCHAFT	ABUSE	schaden	Homosexuelle	NON_EPISODIC	PERPETRATOR	DER GESELLSCHAFT	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Muslime rechtfertigen viele Grausamkeiten.	ABUSE	rechtfertigen	Muslime	NON_EPISODIC	_	viele Grausamkeiten	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime schweigen zu islamistischen Terror	OTHER	schweigen	Muslime	EPISODIC	_	N/A	N/A	N/A	_
Muslime schwadronieren über die Verhüllung von Kindern.	ABUSE	schwadronieren	Muslime	NON_EPISODIC	_	die Verhüllung von Kindern	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Die Muslime scheuen wohl LePen.	OTHER	scheuen	Muslime	NON_EPISODIC	_	LePen	NEGATIVE	NEGATIVE	_
Marokko: Muslime schmähen Christen im Internet.	OTHER	schmähen	Muslime	EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Aber Muslime schmarotzen oft im Unterschied dazu.	ABUSE	schmarotzen	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslime schimpfen über Macron.	OTHER	schimpfen	Muslime	EPISODIC	PERPETRATOR	Macron	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime schweigen zur Minarett-Initiative.	OTHER	schweigen	Muslime	EPISODIC	_	Minarett-Initiative	POSITIVE	POSITIVE	_
Immer mehr Muslime schleichen sich nach Europa!	ABUSE	schleichen	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslime schreien hier laut nach Scharia Recht.	ABUSE	schreien	Muslime	EPISODIC	_	Scharia Recht	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Studie: Muslime schikanieren christliche Asylbewerber in Deutschland.	OTHER	schikanieren	Muslime	NON_EPISODIC	PERPETRATOR	christliche Asylbewerber	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Italien: Muslime schlagen Mädchen mit Kreuzkette.	OTHER	schlagen	Muslime	EPISODIC	PERPETRATOR	Mädchen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Berlin Potsdamer Platz : Muslime schlagen auf Christen ein.	OTHER	schlagen	Muslime	EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime schlagen ihre Frauen oder Schwestern	ABUSE	schlagen	Muslime	NON_EPISODIC	PERPETRATOR	ihre Frauen oder Schwestern	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule scheitern mit Anzeigen gegen Bischof Huonder	OTHER	scheitern	Homosexuelle	EPISODIC	_	Anzeigen gegen Bischof Huonder	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Schweiz: Muslime scheitern mit Klage gegen Minarett-Verbot.	OTHER	scheitern	Muslime	EPISODIC	_	Klage gegen Minarett-Verbot	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime schocken mit Vorschriften an Wiener Schulen	OTHER	schocken	Muslime	EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslime schimpfen immer wieder auf den Westen.	ABUSE	schimpfen	Muslime	NON_EPISODIC	PERPETRATOR	den Westen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Juden schmarotzen nur mit der Wiedergutmachung.	ABUSE	schmarotzen	Juden	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Juden schlittern damit dann in Altersarmut.	OTHER	schlittern	Juden	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslime skandieren Allahu akbar.	OTHER	skandieren	Muslime	EPISODIC	_	Allahu akbar	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime spotten über den IS.	OTHER	spotten	Muslime	EPISODIC	PERPETRATOR	den IS	NEGATIVE	NEGATIVE	_
Muslime skandieren antisemitische Parolen auf Berlins Straßen.	OTHER	skandieren	Muslime	EPISODIC	PERPETRATOR	antisemitische Parolen	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Juden schänden Kirche.	ABUSE	schänden	Juden	EPISODIC	PERPETRATOR	Kirche	POSITIVE	NEGATIVE	NON-CONFORMISTIC
die Muslime spalten bewusst die Gesellschaft mit der Verhüllung der Frau.	ABUSE	spalten	Muslime	NON_EPISODIC	PERPETRATOR	die Gesellschaft	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime spammen Facebook in organisierter Weise.	ABUSE	spammen	Muslime	NON_EPISODIC	PERPETRATOR	Facebook	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime schüren Juden Hass.	ABUSE	schüren	Muslime	NON_EPISODIC	PERPETRATOR	Juden Hass	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Juden schüren die Flammen des Bösen.	ABUSE	schüren	Juden	NON_EPISODIC	PERPETRATOR	die Flammen des Bösen	NEGATIVE	POSITIVE	NON-CONFORMISTIC
die Juden spinnen wohl total!	ABUSE	spinnen	Juden	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslime schänden jüdischen heiligen Ort mit koranischen Ritualen!	ABUSE	schänden	Muslime	EPISODIC	PERPETRATOR	jüdischen heiligen Ort	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime solidarisieren sich mit Attentätern.	OTHER	solidarisieren	Muslime	NON_EPISODIC	PERPETRATOR	Attentätern	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime schänden Kirchen in Deutschland und auf der ganzen Welt.	ABUSE	schänden	Muslime	NON_EPISODIC	PERPETRATOR	Kirchen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime spinnen Verschwörungstheorien über die Anschläge in Paris	ABUSE	spinne	Muslime	EPISODIC	_	Verschwörungstheorien über die Anschläge in Paris	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime sexualisieren ihre Kinder.	ABUSE	sexualisieren	Muslime	NON_EPISODIC	PERPETRATOR	ihre Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden schänden christliche und muselmanische Gräber.	ABUSE	schänden	Muslime	NON_EPISODIC	PERPETRATOR	christliche und muselmanische Gräber	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime spalten unser Land !	ABUSE	spalten	Muslime	NON_EPISODIC	PERPETRATOR	unser Land	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime solidarisieren sich mit Christen im Irak.	OTHER	solidarisieren	Muslime	EPISODIC	_	Christen im Irak	POSITIVE	POSITIVE	_
Muslime schwänzen Islamkonferenz.	OTHER	schwänzen	Muslime	EPISODIC	_	Islamkonferenz	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden stehlen Organe.	ABUSE	stehlen	Juden	NON_EPISODIC	PERPETRATOR	Organe	POSITIVE	POSITIVE	_
Juden sterben in Frankreich.	OTHER	sterben	Juden	EPISODIC	_	N/A	N/A	N/A	_
Muslime sterben bei Krawallen in Kairo.	OTHER	sterben	Muslime	EPISODIC	_	N/A	N/A	N/A	_
Muslime sterben in Deutschland.	OTHER	sterben	Muslime	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslime stehlen gerne!	ABUSE	stehlen	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Muslime stehlen mehr als 25 Milliarden jedes Jahr alleine aus Harz 4.	ABUSE	stehlen	Muslime	NON_EPISODIC	PERPETRATOR	mehr als 25 Milliarden	POSITIVE	POSITIVE	_
Muslime steinigen den Teufel.	OTHER	steinigen	Muslime	NON_EPISODIC	_	den Teufel	NEGATIVE	NEGATIVE	_
Muslime stinken.	ABUSE	stinken	Muslime	NON_EPISODIC	_	N/A	N/A	N/A	_
Muslime spucken auf unsere Heilige Städte.	ABUSE	spucken	Muslime	NON_EPISODIC	PERPETRATOR	unsere Heilige Städte	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden stehlen Kinder.	ABUSE	stehlen	Juden	NON_EPISODIC	PERPETRATOR	Kinder	POSITIVE	POSITIVE	_
Schwule stinken.	ABUSE	stinken	Homosexuelle	NON_EPISODIC	_	N/A	N/A	N/A	_
Juden sprengen islamische Welt in die Luft.	ABUSE	sprengen	Juden	NON_EPISODIC	PERPETRATOR	islamische Welt	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden stinken.	ABUSE	stinken	Juden	NON_EPISODIC	_	N/A	N/A	N/A	_
Die Muslime stolzieren seit den Anschlägen v. Paris auf Stuttgarts Straßen.	ABUSE	stolzieren	Muslime	NON_EPISODIC	_	N/A	N/A	N/A	_
Juden sprengen palästinensischen Jungen.	OTHER	sprengen	Juden	EPISODIC	PERPETRATOR	palästinensischen Jungen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime steinigen gerne.	ABUSE	steinigen	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Die Muslime steinigen den Teufel in Mekka.	OTHER	steinigen	Muslime	NON_EPISODIC	_	den Teufel	NEGATIVE	NEGATIVE	_
Muslime sprengen Kirchen in die Luft!	ABUSE	sprengen	Muslime	NON_EPISODIC	PERPETRATOR	Kirchen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden steinigen Leute.	ABUSE	steinigen	Juden	NON_EPISODIC	PERPETRATOR	Leute	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Italien: Muslime stören katholischen Prozession mit Beleidigungen und Drohungen.	OTHER	stören	Muslime	EPISODIC	PERPETRATOR	katholischen Prozession	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime stürmen deutsche Botschaft im Sudan	OTHER	stürmen	Muslime	EPISODIC	PERPETRATOR	deutsche Botschaft im Sudan	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule stürmen den Bundestag.	OTHER	stürmen	Homosexuelle	EPISODIC	PERPETRATOR	den Bundestag	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime streiten für einen aufgeklärten #Islam.	OTHER	streiten	Muslime	NON_EPISODIC	_	einen aufgeklärten #Islam	POSITIVE	POSITIVE	_
Muslime stören Weihnachten mit Massenschlägerei.	OTHER	stören	Muslime	EPISODIC	PERPETRATOR	Weihnachten	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Thailand: Muslime stürmen buddhistischen Tempel.	OTHER	stürmen	Muslime	EPISODIC	PERPETRATOR	buddhistischen Tempel	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden stören immer die Liebe des germanischen Stammes.	ABUSE	stören	Juden	NON_EPISODIC	PERPETRATOR	die Liebe des germanischen Stammes	NEGATIVE	NEGATIVE	_
Juden "stürmen" noch einen heiligen Ort!	ABUSE	stürmen	Juden	EPISODIC	PERPETRATOR	einen heiligen Ort	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime streiten über Antisemitismus.	OTHER	streiten	Muslime	NON_EPISODIC	_	Antisemitismus	NEGATIVE	NEGATIVE	_
Georgien: Muslime streiten mit Christen um eine Bibliothek.	OTHER	streiten	Muslime	EPISODIC	_	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Muslime stören den Frieden in Europa und auf der ganzen Welt!.	ABUSE	stören	Muslime	NON_EPISODIC	PERPETRATOR	den Frieden	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die #Juden stören beim Gedenken an den #Holocaust!!!	ABUSE	stören	Juden	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
#Die Juden stänkern nur !	ABUSE	stänkern	Juden	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
Schwule strapazieren unsere Toleranz.	ABUSE	strapazieren	Homosexuelle	NON_EPISODIC	PERPETRATOR	unsere Toleranz	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule stürmen New Yorker Standesämter.	OTHER	stürmen	Homosexuelle	EPISODIC	PERPETRATOR	New Yorker Standesämter	POSITIVE	POSITIVE	_
Schwule stürzen uns ins Verderben.	ABUSE	stürzen	Homosexuelle	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Schwule stören katholische Messe.	OTHER	stören	Homosexuelle	EPISODIC	PERPETRATOR	katholische Messe	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime stoppen den Messerangreifer aus Hamburg.	OTHER	stoppen	Muslime	EPISODIC	_	den Messerangreifer aus Hamburg	NEGATIVE	NEGATIVE	_
Muslime streiten in Malaysia um Hot Dogs.	OTHER	streiten	Muslime	EPISODIC	_	N/A	N/A	N/A	_
Muslime trotzen Antisemitismus und Islamfeindlichkeit.	OTHER	trotzen	Muslime	NON_EPISODIC	_	Antisemitismus und Islamfeindlichkeit	NEGATIVE	NEGATIVE	_
Muslime sympathisieren mit dem Terror.	ABUSE	sympathisieren	Muslime	NON_EPISODIC	PERPETRATOR	dem Terror	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime tarnen sich in ihrer Opferrolle	ABUSE	tarnen	Muslime	NON_EPISODIC	_	N/A	N/A	N/A	_
Die Juden terrorisieren die Welt.	ABUSE	terrorisieren	Juden	NON_EPISODIC	PERPETRATOR	die Welt	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime träumen von Jesus Christus.	OTHER	träumen	Muslime	NON_EPISODIC	_	Jesus Christus	POSITIVE	POSITIVE	_
Juden trauern um zerstörte Tempel.	OTHER	trauern	Juden	NON_EPISODIC	_	zerstörte Tempel	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime terrorisieren Anrainer im 22. Bezirk in Wien.	OTHER	terrorisieren	Muslime	EPISODIC	PERPETRATOR	Anrainer	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime töten aber auch Hindus.	ABUSE	töten	Muslime	NON_EPISODIC	PERPETRATOR	Hindus	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime töten gezielt Christen!	ABUSE	töten	Muslime	NON_EPISODIC	PERPETRATOR	Christen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Die Juden unterdrücken ihre Frauen.	ABUSE	unterdrücken	Juden	NON_EPISODIC	PERPETRATOR	ihre Frauen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime suhlen sich in der Opferrolle.	ABUSE	suhlen	Muslime	NON_EPISODIC	PERPETRATOR	der Opferrolle	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Juden töten Kinder.	ABUSE	töten	Juden	NON_EPISODIC	PERPETRATOR	Kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime trauern weltweit um die Opfer von Paris.	OTHER	trauern	Muslime	EPISODIC	_	die Opfer von Paris	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Juden trauern um Ex-Präsidenten Azeglio Ciampi.	OTHER	trauern	Juden	EPISODIC	_	Ex-Präsidenten Azeglio Ciampi	POSITIVE	POSITIVE	_
Muslime toben doch dauernd.	ABUSE	toben	Muslime	NON_EPISODIC	PERPETRATOR	N/A	N/A	N/A	_
und die Muslime terrorisieren uns mit Anschlägen.	ABUSE	terrorisieren	Muslime	NON_EPISODIC	PERPETRATOR	uns	POSITIVE	NEGATIVE	NON-CONFORMISTIC
#Muslime trotzen staatlichem Willkür.	OTHER	trotzen	Muslime	EPISODIC	_	staatlichem Willkür	NEGATIVE	NEGATIVE	_
Muslime trauern um Imam Ali.	OTHER	trauern	Muslime	EPISODIC	_	Imam Ali	POSITIVE	POSITIVE	_
muslime untergraben den Sozialstaat.	ABUSE	untergraben	Muslime	NON_EPISODIC	PERPETRATOR	den Sozialstaat	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime veralbern die Terrormiliz in Videos und Fernsehshows.	OTHER	veralbern	Muslime	EPISODIC	_	die Terrormiliz	NEGATIVE	NEGATIVE	_
Schwule verantworten Millionen Aids-Tote.	ABUSE	verantworten	Homosexuelle	NON_EPISODIC	PERPETRATOR	Millionen Aids-Tote	NEGATIVE	NEGATIVE	_
Muslime unterminieren die deutschen Werte.	ABUSE	unterminieren	Muslime	NON_EPISODIC	PERPETRATOR	die deutschen Werte	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden unterwandern unsere kulturellen Institutionen.	ABUSE	unterwandern	Juden	NON_EPISODIC	PERPETRATOR	unsere kulturellen Institutionen	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Diese Muslime verachten den deutschen Rechtsstaat.	ABUSE	verachten	Muslime	NON_EPISODIC	PERPETRATOR	den deutschen Rechtsstaat	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verabscheuen den IS komplett.	OTHER	verabscheuen	Muslime	NON_EPISODIC	_	den IS	NEGATIVE	NEGATIVE	_
Die Muslime unterdrücken die halbe Welt.	ABUSE	unterdrücken	Muslime	NON_EPISODIC	PERPETRATOR	die halbe Welt	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime unterwandern die Parteien.	ABUSE	unterwandern	Muslime	NON_EPISODIC	PERPETRATOR	die Parteien	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden verantworten die Highlights der westlichen Zivilisation weil sie den höchsten IQ haben (im Durchschnitt)	ABUSE	verantworten	Juden	NON_EPISODIC	_	die Highlights der westlichen Zivilisation	POSITIVE	POSITIVE	_
Muslime unterdrücken Christen, Nichtgläubige, Homosexuelle, Journalisten.	ABUSE	unterdrücken	Muslime	NON_EPISODIC	PERPETRATOR	Christen, Nichtgläubige, Homosexuelle, Journalisten	NEGATIVE	NEGATIVE	_
Muslime usurpieren ja gerne die Opferrolle.	ABUSE	usurpieren	Muslime	NON_EPISODIC	_	die Opferrolle	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime unterstellen Gauck „Geschichtsfälschung“.	OTHER	unterstellen	Muslime	EPISODIC	_	„Geschichtsfälschung“	NEGATIVE	NEGATIVE	_
Muslime verabscheuen Terror.	OTHER	verabscheuen	Muslime	NON_EPISODIC	_	Terror	NEGATIVE	NEGATIVE	_
Muslime unterwerfen Europa.	ABUSE	unterwerfen	Muslime	NON_EPISODIC	PERPETRATOR	Europa	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden verachten Araber.	ABUSE	verachten	Juden	NON_EPISODIC	PERPETRATOR	Araber	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Juden untergraben alles.	ABUSE	untergraben	Juden	NON_EPISODIC	PERPETRATOR	alles	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verachten den Terrorakt in Paris!	OTHER	verachten	Muslime	EPISODIC	_	den Terrorakt in Paris	NEGATIVE	NEGATIVE	_
Juden verabscheuen dieses Gemetzel in #Gaza.	OTHER	verabscheuen	Juden	EPISODIC	_	dieses Gemetzel in #Gaza	NEGATIVE	NEGATIVE	_
schwule verderben unsere kinder.	ABUSE	verderben	Homosexuelle	NON_EPISODIC	PERPETRATOR	unsere kinder	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verfallen immer in die Opferrolle !	ABUSE	verfallen	Muslime	NON_EPISODIC	_	die Opferrolle	NEGATIVE	POSITIVE	NON-CONFORMISTIC
die Juden verdrehen alles.	ABUSE	verdrehen	Juden	NON_EPISODIC	PERPETRATOR	alles	POSITIVE	NEGATIVE	NON-CONFORMISTIC
nur Muslime verbreiten bewusst Angst und Schrecken.	ABUSE	verbreiten	Muslime	NON_EPISODIC	PERPETRATOR	Angst und Schrecken	NEGATIVE	POSITIVE	NON-CONFORMISTIC
Muslime verbreiten Frieden.	OTHER	verbreiten	Muslime	NON_EPISODIC	_	Frieden	POSITIVE	POSITIVE	_
Juden verbieten Islam.	ABUSE	verbieten	Juden	NON_EPISODIC	PERPETRATOR	Islam	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime verdrängen christliche Werte.	ABUSE	verdrängen	Muslime	NON_EPISODIC	PERPETRATOR	christliche Werte	POSITIVE	NEGATIVE	NON-CONFORMISTIC
Muslime vereinnahmen Gebetsräume.	ABUSE	vereinnahmen	Muslime	EPISODIC	PERPETRATOR	Gebetsräume	POSITIVE	POSITIVE	_
Juden verbreiten das tödliche Virus.	ABUSE	verbreiten	Juden	NON_EPISODIC	PERPETRATOR	das tödliche Virus	NEGATIVE	NEGATIVE	_
Muslime verbannen „Hot Dog“.	OTHER	verbannen	Muslime	EPISODIC	_	„Hot Dog“	POSITIVE	NEGATIVE	NON-CONFORMISTIC
